"Timestamp","How concerned are you about AI models using your music without permission?","Have you ever encountered unauthorized AI-generated versions of your work?","What aspects of AI-generated music concern you the most? (Select all that apply)","Would you use a tool that protects your audio from AI training and replication?","What features would be most important in an AI-protection tool for music? (Rank in order of importance) 
1. Ease of use
2. High-quality, undetectable alterations
3. Compatibility with different file formats
4. Fast processing time
5. Industry recognition & legal backing  ","Would you be open to beta-testing a tool like Dissonance?","If there was software that could imperceptibly manipulate audio to change how it is perceived by AI:
What features would you find most interesting? (Optional)","How would you use this software? (Optional) ","Do you believe such processing could be useful in preventing unauthorised AI training? (Optional)"
"2025/03/10 11:29:55 AM GMT","Very concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2,1,5,4,3","Yes! I’d love to try it","","",""
"2025/03/10 11:32:07 AM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","15234","Maybe, I’d need more details","","",""
"2025/03/10 11:54:27 AM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","I’m not sure","5, 3, 2, 4, 1","Yes! I’d love to try it","","",""
"2025/03/10 12:24:04 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","52134","Yes! I’d love to try it","","protecting my future releases/songs against AI theft etc",""
"2025/03/10 12:30:27 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2, 3, 5, 1, 4","Maybe, I’d need more details","","",""
"2025/03/10 12:49:22 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Yes, definitely","1, 4, 2, 3, 5","Yes! I’d love to try it","","",""
"2025/03/10 1:00:21 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","1, 5, 4, 3, 2","Yes! I’d love to try it;Maybe, I’d need more details","","","Yes"
"2025/03/10 1:12:52 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","5, 2, 3, 1, 4","Yes! I’d love to try it","","",""
"2025/03/10 2:10:10 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","1, 2","Yes! I’d love to try it","","",""
"2025/03/10 2:41:02 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2, 3, 1, 4, 5","Yes! I’d love to try it","","To protect my own music",""
"2025/03/10 2:44:51 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Potential impact on the music industry and artist livelihoods","Yes, definitely","5 - 2 - 4 -1 - 3","Maybe, I’d need more details","","",""
"2025/03/10 2:47:46 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Definitely, but I also have a worry that big companies (Meta etc) might ‘shadowban’ you for opting-out of AI training using your content, or if you use any ‘anti-AI’ tools for your content. This would affect musicians greatly too because unfortunately you still have to depend on these large scale social media platforms for exposure","3,2,1,5,4","Yes! I’d love to try it","","","Definitely"
"2025/03/10 2:49:17 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2 1 4 5 3","Maybe, I’d need more details","","",""
"2025/03/10 4:04:25 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","1, 3, 2, 4, 5","Maybe, I’d need more details","To make it audible I’d put in a message like “This audio was ai generated and was detected by ___ “ (name of the software). Other audio companies do something similar for unpaid demos of plugins, like ducking the audio or a message like “thank you for trying this demo”","For me it depends on the situation. Possibly off and on","Absolutely "
"2025/03/10 4:17:55 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","All of them","Yes! I’d love to try it","Being able to apply it to the masters of my songs","Def","Yes"
"2025/03/10 4:32:45 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods;None of the above / I don’t have concerns","Maybe, if it’s easy to use","1","Maybe, I’d need more details","","",""
"2025/03/10 4:39:22 PM GMT","Moderately concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","5,2,1,4,3","Maybe, I’d need more details","","before releasing a song, I'd run the song through the software and upload that version to wherever the AI tools are pulling info about songs to train on to make the trained audio not usable",""
"2025/03/10 4:41:22 PM GMT","Very concerned","No, and I’m not concerned","AI being trained on music without artist consent;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","5, 2, 1, 3","Maybe, I’d need more details","","",""
"2025/03/10 4:55:26 PM GMT","Moderately concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2,1,5,3,4","Yes! I’d love to try it","","Id love to use this tool on my future releases ","absolutely "
"2025/03/10 5:18:07 PM GMT","Moderately concerned","No, and I’m not concerned","Ethical concerns about AI in music;AI being trained on music without artist consent;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2, 1, 3, 5, 4","Yes! I’d love to try it","I'd say the simplicity of using it. Upload a file -> Adding manipulation -> Output. Might be cool to add a with & without manipulation option on the audiochannel, to hear if there are any jarring differences in the audio.","Probably as part of a website (please no subscriptions, I rather have a few extra ads on every page then those...), but could also be cool as an actual application. I'd use it before uploading any audio on official websites like youtube, soundcloud, spotify etc.","Depends on your results I guess. Is it able to ""ruin"" the wave frequencies without too many side effects?"
"2025/03/10 5:43:12 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2 3 5 4 1","Yes! I’d love to try it","","","Yes"
"2025/03/10 6:00:18 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","1, 2, 4, 5, 3","Maybe, I’d need more details","","",""
"2025/03/10 6:15:05 PM GMT","Moderately concerned","No, and I’m not concerned","AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2, 5, 1, 3, 4","Maybe, I’d need more details","","Perhaps using it on my music before I release it on platforms to make sure no one could rip it and train and use it to train without my consent.","Depends, but probably yes."
"2025/03/10 7:04:36 PM GMT","Extremely concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Yes, definitely","5, 2, 4, 1, 3","Yes! I’d love to try it","","",""
"2025/03/10 7:05:16 PM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2, 3, 4, 1, 5","Maybe, I’d need more details","","Primarily as a mastering track","Yes, as there's plenty of frequency range that could be used, but I do wonder about mp3 compatibility given its lossy compression style"
"2025/03/10 8:17:36 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","25134","Maybe, I’d need more details","","Plugin direct in the daw like a vst would be coool","Sure at first but I'm student in cybersecurity and i can tell u that the AI improve too fast and could pass through the ""security"" after a delai.."
"2025/03/10 10:45:01 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2,3,5,1,4","Yes! I’d love to try it","","",""
"2025/03/10 10:47:47 PM GMT","Very concerned","No, and I’m not concerned","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2,1,3,4,5","Yes! I’d love to try it;Maybe, I’d need more details","","",""
"2025/03/10 11:43:53 PM GMT","Not concerned at all","No, and I’m not concerned","Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","3 1 2 4 5","Maybe, I’d need more details","I'd find the feature that changes how it's perceived by ai the most interesting ☠️","Test and see if it's beneficial","Yep"
"2025/03/11 12:33:00 AM GMT","Very concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","All","Maybe, I’d need more details","Also being able to find songs that have used your work as a reference.","to protect myself ","Yes"
"2025/03/11 12:46:56 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","1, 5, 2, 3, 4","Yes! I’d love to try it;Maybe, I’d need more details","","",""
"2025/03/11 1:51:29 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","52314","Maybe, I’d need more details","","",""
"2025/03/11 2:21:20 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","2, 3, 1, 4, 5","Maybe, I’d need more details","A B comparison","","yes"
"2025/03/11 2:36:14 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","5, 2, 3, 1, 4","Yes! I’d love to try it","","",""
"2025/03/11 2:46:03 AM GMT","i dont make music but im a visual artist for musicians so i care about their protection!","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","i dont make music but i like the idea of this tool for any medium and would like to see more of them!","23514","im probably not fit for it but i'd test one if made for visual artists :)","","",""
"2025/03/11 2:50:47 AM GMT","Moderately concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","5, 2, 3, 4, 1","Maybe, I’d need more details","","",""
"2025/03/11 3:39:42 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","3. Compatibility with different file formats 4. Fast processing time 1. Ease of use 2. High-quality, undetectable alyerations 5. Industry recognition & legal backing","Yes! I’d love to try it","","",""
"2025/03/11 3:53:33 AM GMT","Extremely concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2 and 5","Yes! I’d love to try it","Honestly how different the output from AI trained on the data is.","On ALL works of mine. I would honestly put it before my limiter if I could get this as a VST. Fully incorporate it in my mastering process","I don’t think it’s a permanent solution because I think there will eventually be workarounds. But it’s a huge step in the right direction "
"2025/03/11 3:54:37 AM GMT","Moderately concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2,3,4,1,5","Yes! I’d love to try it","Maximum negative impact on AI models that use these tracks as training models","","Yes, I think in the broad ecosystem it’ll be a warning for AI data scrapers to stay away from these tracks at least. Like those poisonous frogs"
"2025/03/11 4:18:24 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","5 2 1 4 3","Maybe, I’d need more details","","",""
"2025/03/11 9:01:48 AM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","2, 3, 1, 4, 5","Yes! I’d love to try it","","","I hope so"
"2025/03/11 10:25:50 AM GMT","Extremely concerned","Yes, once","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","5,2,3,1,4","Yes! I’d love to try it","","",""
"2025/03/11 10:34:59 AM GMT","Slightly concerned","No, but I’m worried about it happening","AI being trained on music without artist consent;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Maybe, if it’s easy to use","1","No, I’m not interested","","",""
"2025/04/14 7:27:06 PM GMT","Extremely concerned","No, but I’m worried about it happening","Ethical concerns about AI in music;AI being trained on music without artist consent;Challenges in maintaining artistic and creative ownership;Difficulty in distinguishing AI-generated content from human-made work;Potential impact on the music industry and artist livelihoods","Yes, definitely","Most important to least important: 2, 1, 4, 3, 5","Yes! I’d love to try it","","",""
